Aaptos aaptos (Schmidt, 1864) (meatball sponge)
Stellio stellio Kasparek 1990 (starred agama) syn. for Stellagama stellio (L., 1758)
Stenotrema stenotrema (Pfeiffer, 1842) (Inland slitmouth snail)
Strepsiceros strepsiceros Hamilton 1827? (kudu) syn. for Tragelaphus strepsiceros strepsiceros (Pallas, 1766)
Strongylura strongylura (Van Hasselt, 1823) (spottail needlefish)
Strophurus strophurus (Duméril & Bibron, 1836) (western spiny-tailed gecko)
Sucova sucova Schaus, 1902 (yellow-legged cynea skipper)
Suiriri suiriri (Vieillot, 1818) (suiriri flycatcher)
Sula sula (L., 1766) (redfooted booby)
Suta suta (Peters, 1863) (myall snake)
Sutoria sutoria (Forster) Sharpe (common tailorbird) syn. for Orthotomus sutorius (Pennant, 1769)
Synodus synodus (L., 1758) (diamond lizardfish)
Syringella syringella (Schmidt 1868) (sponge) syn. for Suberites syringella (Schmidt, 1868)
Tadorna tadorna (L., 1758) (shelduck)
Tandanus tandanus (Mitchell, 1838) (eel-tailed catfish)
Tatutor tatutor Jousseaume 1887 (gastropod) syn. for Thaumastus sp.
Tchagra tchagra (Vieillot, 1816) (southern tchagra)
Telescopium telescopium (L., 1758) (sea snail)
Temnurus temnurus (Temminck, 1825) (ratchet-tailed treepie)
Terebellum terebellum (L., 1758) (terebellum conch)
Tergipes tergipes (Forskal, 1775) (sea slug)
Tetradactylus tetradactylus (Daudin, 1802) (long-toed seps)
Tetrax tetrax (L., 1758) (little bustard)
Therezopolis therezopolis Mello-Leitão 1923 (harvestman) syn. for Graphinotus ornatus Kollar, 1839
Thymallus thymallus (L., 1758) (grayling)
Tiacellia tiacellia Hewitson, 1874 (skipper)
Tibicen tibicen (L., 1758) (tibicen cicada)
Tinca tinca (L., 1758) (tench)
Todus todus (L., 1758) (Jamaican tody)
Tor tor (Hamilton, 1822) (red-finned mahseer)
Torpedo torpedo (L., 1758) (electric eel)
Tosta tosta Evans, 1953 (skipper)
Totanus totanus (L. 1758) (redshank) syn. for Tringa totanus (L., 1758)
Trachurus trachurus (L., 1758) (Atlantic horse mackerel)
Trachycorystes trachycorystes (Valenciennes, 1840) (black catfish)
Trachyrincus trachyrincus (Risso, 1810) (rough-snout grenadier)
Trichodon trichodon (Tilesius, 1813) (Pacific sandfish)
Tricornis tricornis (Lightfoot, 1786) (three-cornered conch)
Troglodytes troglodytes (L., 1758) (winter wren)
Tromba tromba Evans, 1955 (skipper)
Tropheops tropheops (Regan, 1922) (cichlid )
Tubifex tubifex (Müller, 1774) (sludgeworm)
Turmada turmada Druce, 1912 (skipper)
Tympanistria tympanistria G.R.Gray 1870 (tambourine dove) syn. for Turtur tympanistria (Temminck, 1809)
Tyrannus tyrannus (L., 1758) (eastern kingbird)
Uluops uluops Carpenter & Bakker, 1990 (fossil turtle)
Umbraculum umbraculum (Lightfoot, 1786) (Atlantic umbrella slug)
Uncia uncia (Schreber, 1775) (snow leopard)
Uraspis uraspis (Günther, 1860) (whitemouth jack)
Valeria valeria Cramer 1776 (common wanderer) Provisionally accepted; the name is also used by Joicey & Talbot 1924, Kheil 1884, Oberthür 1893, or Staudinger 1884.
Vanellus vanellus (L., 1758) (lapwing)
Varicopeza varicopeza Gründel 1976 (cerithiid sea snail) accepted as V. pauxilla (A. Adams, 1855)
Velella velella (L., 1758) (by-the-wind sailor)
Verticordia verticordia S. Wood, 1840 (clam)
Vicugna vicugna (Molina, 1782) (vicuña)
Vidius vidius Mabille, 1891 (skipper)
Villosa villosa (B.H. Wright, 1898) (freshwater mussel)
Vimba vimba (L., 1758) (vimba bream)
Viviparus viviparus (L., 1758) (river snail)
Volva volva (L., 1758) (shuttlecock cowrie)
Vulpes vulpes (L., 1758) (red fox)
Vulsella vulsella (L., 1758) (sponge finger oyster)
Xanthocephalus xanthocephalus (Bonaparte, 1826) (yellow-headed blackbird)
Xanthostigma xanthostigma (Schummel, 1832) (snakefly)
Xenopirostris xenopirostris (Lafresnaye, 1850) (Lafresnaye's vanga)
Ypiranga ypiranga Mello-Leitão 1922 (harvestman) syn. for Uropachylus ypiranga Mello-Leitão 1922
Zebrus zebrus (Risso, 1827) (zebra goby)
Zera zera Butler, 1870 (skipper)
Zingel zingel (L., 1766) (zingel)
Zingha zingha Stoll, 1780 (nymphalid butterfly)
Zoma zoma Saaristo, 1996 (theridiosomatid spider)
Zonia zonia Evans, 1951 (skipper)
Zungaro zungaro (Humboldt, 1821) (jau, a catfish)
Zygoneura zygoneura (Williston, 1896) (sciarid fly)
